Year,Total Population (thousands),1st Generation (thousands),2nd Generation (thousands),3rd and Higher Generation (thousands)
1965,193419,9620,24869,159110
1975,214042,11933,28707,173941
1985,238211,16450,32003,189758
1995,266578,24937,39442,202199
2005,297532,38442,47427,211663
2015,323517,44867,38474,240177
2025,350347,52962,46554,261691
2035,374174,59123,52471,262580
2045,394795,65763,58234,270798
2055,416078,71893,71653,273054
2065,438212,78231,81100,273951
