Year,Total Population (thousands),White (thousands),Black (thousands),Hispanic (thousands),Asian (thousands),Total (no 2015-2065 immigration) (thousands),White (no immigration) (thousands),Black (no immigration) (thousands),Hispanic (no immigration) (thousands),Asian (no immigration) (thousands)
2015,323517,200050,40271,56975,18232,323517,200050,40271,56975,18232
2025,350347,204317,44588,67318,24936,336676,201466,43230,63941,19589
2035,374137,204950,48151,77941,32510,343498,198561,42543,69312,20084
2045,394795,202803,51937,87810,39494,343409,192861,41963,74610,20062
2055,416607,201775,53937,97514,43904,341324,186495,40695,76416,19862
2065,440923,202380,56864,106953,60509,338158,181358,46748,78028,19578
